Designator,Mid X,Mid Y,Rotation,Layer
C1,77.59,-100.89,270.0,top
C10,123.1,-75.85,0.0,top
C11,94.12,-156.02,90.0,top
C12,130.45,-67.25,0.0,top
C13,129.8,-75.9,0.0,top
C14,134.6,-65.05,180.0,top
C15,135.0,-81.2,0.0,top
C16,147.05,-67.05,180.0,top
C17,143.0,-81.1,0.0,top
C18,79.915,-161.72,270.0,top
C19,89.02,-156.02,90.0,top
C2,54.0875,-99.53,0.0,top
C20,131.9,-143.7,0.0,top
C21,137.275,-143.7,0.0,top
C22,130.35,-89.0,270.0,top
C23,97.52,-156.02,90.0,top
C24,92.42,-155.995,90.0,top
C25,187.2,-103.4,180.0,top
C26,201.3,-100.4,0.0,top
C27,187.15,-101.7,180.0,top
C28,124.08,-155.78,180.0,top
C29,124.08,-157.48,180.0,top
C3,54.07,-95.77,0.0,top
C30,137.58,-153.18,0.0,top
C31,137.41,-159.72,0.0,top
C32,137.64,-149.75,0.0,top
C33,129.025,-161.165,0.0,top
C34,155.4,-97.7,180.0,top
C35,116.285,-138.755,180.0,top
C36,116.285,-137.03,0.0,top
C37,116.235,-133.58,180.0,top
C38,129.05,-131.05,0.0,top
C39,131.85,-141.95,0.0,top
C4,70.59,-100.88,90.0,top
C40,131.8,-138.4,180.0,top
C41,131.8,-134.9,180.0,top
C42,167.83,-69.0,90.0,top
C43,232.2,-87.1,270.0,top
C44,222.8,-103.2,180.0,top
C45,201.3,-104.9,0.0,top
C46,213.8,-105.4,0.0,top
C47,208.925,-100.7,180.0,top
C48,208.9,-104.4,0.0,top
C49,232.103334,-116.47,90.0,top
C5,55.1,-102.4,180.0,top
C50,174.6,-48.55,180.0,top
C51,84.975,-161.7,270.0,top
C52,135.45,-89.025,270.0,top
C53,174.6,-43.45,180.0,top
C54,174.6,-46.85,180.0,top
C6,80.39,-65.31,0.0,top
C7,79.5,-75.95,0.0,top
C8,130.45,-65.6,0.0,top
C9,123.1,-67.35,0.0,top
D1,72.53,-112.76325,270.0,top
D2,66.34325,-96.5,0.0,top
D3,138.9,-60.6,90.0,top
D4,138.9,-53.7,90.0,top
IC1,194.025,-103.01,0.0,top
IC10,173.6,-69.0,0.0,top
IC2,131.35,-155.3975,180.0,top
IC3,163.5375,-91.8,90.0,top
IC4,124.15,-137.755,0.0,top
IC5,216.0,-101.3,180.0,top
IC8,230.235,-81.8625,180.0,top
IC9,230.2,-124.9,180.0,top
J1,153.7,-57.955,180.0,top
J2,207.3,-49.4,180.0,top
J3,148.5125,-162.7325,90.0,top
J4,88.975,-179.4,180.0,bottom
J5,168.15,-175.7,90.0,top
J6,68.8,-33.85,180.0,top
J7,167.55,-143.38,90.0,top
J9,157.7,-161.9,0.0,top
L1,59.15,-87.1,180.0,top
L2,129.8,-77.6,0.0,top
L3,174.6,-41.75,0.0,top
Q1,133.35,-166.65,180.0,top
R1,137.1,-60.8,90.0,top
R10,95.82,-156.02,90.0,top
R11,76.365,-161.695,90.0,top
R12,78.165,-161.695,270.0,top
R13,89.0,-161.7,90.0,top
R14,90.72,-156.02,90.0,top
R15,131.9,-145.5,180.0,top
R16,137.275,-141.9,180.0,top
R17,97.5,-161.7,270.0,top
R18,132.05,-89.0,90.0,top
R19,90.7,-161.7,270.0,top
R2,129.7,-79.3,180.0,top
R20,95.79375,-161.70625,90.0,top
R21,92.4,-161.7,90.0,top
R22,131.58,-163.93,0.0,top
R23,137.53,-166.64,0.0,top
R24,187.2,-105.1,0.0,top
R25,201.3,-102.1,180.0,top
R26,187.2,-100.0,180.0,top
R27,137.57,-154.93,180.0,top
R28,137.45,-157.96,180.0,top
R29,137.43,-164.91,180.0,top
R3,128.65,-89.0,270.0,top
R30,137.4,-161.42,180.0,top
R31,137.61,-151.44,180.0,top
R32,116.285,-140.455,0.0,top
R33,116.26,-135.305,0.0,top
R34,116.26,-131.855,0.0,top
R35,131.85,-140.2,180.0,top
R36,131.8,-136.65,180.0,top
R37,131.8,-133.15,180.0,top
R38,179.255,-69.035,270.0,top
R39,227.7,-87.1,90.0,top
R4,142.7,-88.8,270.0,top
R40,229.2,-87.1,270.0,top
R41,230.7,-87.1,270.0,top
R42,222.8,-100.7,180.0,top
R43,222.8,-104.8,180.0,top
R44,222.8,-99.0,0.0,top
R45,201.3,-106.6,0.0,top
R46,208.9,-102.8,0.0,top
R47,208.925,-99.0,180.0,top
R48,230.22,-116.47,90.0,top
R49,228.336667,-116.47,90.0,top
R5,161.6,-75.3,180.0,top
R50,226.453334,-116.503334,270.0,top
R51,174.6,-45.15,0.0,top
R52,137.41,-163.14,180.0,top
R53,153.7,-94.55,0.0,top
R54,81.7,-161.7,90.0,top
R55,83.3,-161.7,270.0,top
R56,137.15,-89.025,90.0,top
R57,133.75,-89.025,270.0,top
R58,153.7,-89.85,0.0,top
R6,161.6,-73.75,180.0,top
R7,140.7,-60.7,90.0,top
R8,136.9,-53.7,270.0,top
R9,94.1,-161.7,90.0,top
U1,62.91,-109.84,270.0,top
U2,82.4,-71.3,180.0,top
U3,138.758389,-72.994534,270.0,top
U4,188.85,-48.74,0.0,top
U5,63.56,-135.06,270.0,top
U6,83.1,-134.97,270.0,top
Y1,122.95,-71.55,270.0,top
